央视频道,#genre#
CCTV1,http://39.135.16.142:6060/PLTV/88888888/224/3221225726/1/index.m3u8?fmt=ts2hls
CCTV2,http://39.135.16.142:6060/PLTV/88888888/224/3221225706/1/index.m3u8?fmtts2hls
CCTV3,http://39.135.15.93:6610/PLTV/88888888/224/3221226040/1/index.m3u8?fmt=ts2hls
CCTV4,http://39.135.16.142:6060/PLTV/88888888/224/3221225744/1/index.m3u8?fmtts2hls
CCTV5,http://39.135.15.93:6610/PLTV/88888888/224/3221226024/1/index.m3u8?fmt=ts2hls
CCTV5+,http://39.134.32.103:6610/270000001111/1110000306/index.m3u8?IASHttpSessionId=OTT
CCTV6,http://39.134.32.102:6610/270000001111/1110000307/index.m3u8?IASHttpSessionId=OTT
CCTV7,http://183.207.249.15/PLTV/3/224/3221225546/index.m3u8
CCTV8,http://39.135.15.93:6610/PLTV/88888888/224/3221226005/1/index.m3u8?fmt=ts2hls
CCTV9,http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel9/index.m3u8
CCTV10,http://39.135.15.93:6610/PLTV/88888888/224/3221225685/1/index.m3u8?fmt=ts2hls
CCTV11,http://39.135.16.142:6060/PLTV/88888888/224/3221225746/1/index.m3u8?fmtts2hls
CCTV12,http://39.135.16.142:6060/PLTV/88888888/224/3221225747/1/index.m3u8?fmtts2hls
CCTV13,http://39.135.16.142:6060/PLTV/88888888/224/3221225748/1/index.m3u8?fmtts2hls
CCTV14,http://39.135.16.142:6060/PLTV/88888888/224/3221225727/1/index.m3u8?fmtts2hls
CCTV15,http://39.135.16.142:6060/PLTV/88888888/224/3221225749/1/index.m3u8?fmtts2hls
CCTV16,http://39.134.66.4/PLTV/88888888/224/3221225893/index.m3u8
CCTV-第一剧场,http://39.135.16.142:6060/PLTV/88888888/224/3221225702/1/index.m3u8?fmtts2hls
CCTV-风云剧场,http://39.135.16.142:6060/PLTV/88888888/224/3221225700/1/index.m3u8?fmtts2hls
CCTV-电视指南,http://39.135.16.142:6060/PLTV/88888888/224/3221225673/1/index.m3u8?fmtts2hls
CCTV-央视文化精品,http://39.135.16.142:6060/PLTV/88888888/224/3221225675/1/index.m3u8?fmtts2hls
CCTV-怀旧剧场,http://39.135.16.142:6060/PLTV/88888888/224/3221225765/1/index.m3u8?fmtts2hls
CCTV-兵器科技,http://39.135.16.142:6060/PLTV/88888888/224/3221225676/1/index.m3u8?fmtts2hls
CCTV-风云音乐,http://39.135.16.142:6060/PLTV/88888888/224/3221225698/1/index.m3u8?fmtts2hls
CCTV-女性时尚,http://39.135.16.142:6060/PLTV/88888888/224/3221225699/1/index.m3u8?fmtts2hls
CCTV-世界地理,http://39.135.16.142:6060/PLTV/88888888/224/3221225733/1/index.m3u8?fmtts2hls
卫视频道,#genre#
浙江卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225750/1/index.m3u8?fmtts2hls
江苏卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225751/1/index.m3u8?fmtts2hls
东方卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225752/1/index.m3u8?fmtts2hls
湖南卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225778/1/index.m3u8?fmtts2hls
安徽卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225716/1/index.m3u8?fmtts2hls
广东卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225720/1/index.m3u8?fmtts2hls
深圳卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225712/1/index.m3u8?fmtts2hls
北京卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225754/1/index.m3u8?fmtts2hls
东南卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225739/1/index.m3u8?fmtts2hls
河北卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225713/1/index.m3u8?fmtts2hls
湖北卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225708/1/index.m3u8?fmtts2hls
河南卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225709/1/index.m3u8?fmtts2hls
天津卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225756/1/index.m3u8?fmtts2hls
江西卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225710/1/index.m3u8?fmtts2hls
山西卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225730/1/index.m3u8?fmtts2hls
山东卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225728/1/index.m3u8?fmtts2hls
四川卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225757/1/index.m3u8?fmtts2hls
广西卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225711/1/index.m3u8?fmtts2hls
黑龙江卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225758/1/index.m3u8?fmtts2hls
吉林卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225753/1/index.m3u8?fmtts2hls
辽宁卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225717/1/index.m3u8?fmtts2hls
重庆卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225686/1/index.m3u8?fmtts2hls
云南卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225687/1/index.m3u8?fmtts2hls
厦门卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225761/1/index.m3u8?fmtts2hls
海南卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225762/1/index.m3u8?fmtts2hls
陕西卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225688/1/index.m3u8?fmtts2hls
甘肃卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225755/1/index.m3u8?fmtts2hls
金鹰纪实,http://39.135.16.142:6060/PLTV/88888888/224/3221225671/1/index.m3u8?fmtts2hls
新疆卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225759/1/index.m3u8?fmtts2hls
西藏卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225668/1/index.m3u8?fmtts2hls
青海卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225760/1/index.m3u8?fmtts2hls
内蒙古卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225718/1/index.m3u8?fmtts2hls
宁夏卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225719/1/index.m3u8?fmtts2hls
贵州频道,#genre#
贵州卫视,http://39.135.16.142:6060/PLTV/88888888/224/3221225703/1/index.m3u8?fmtts2hls
贵州 - 2,http://39.135.16.142:6060/PLTV/88888888/224/3221225682/1/index.m3u8?fmtts2hls
贵州 - 3,http://39.135.16.142:6060/PLTV/88888888/224/3221225704/1/index.m3u8?fmtts2hls
贵州 - 4,http://39.135.16.142:6060/PLTV/88888888/224/3221225740/1/index.m3u8?fmtts2hls
贵州 - 5,http://39.135.16.142:6060/PLTV/88888888/224/3221225662/1/index.m3u8?fmtts2hls
贵州 - 6,http://39.135.16.142:6060/PLTV/88888888/224/3221225672/1/index.m3u8?fmtts2hls
贵州-7,http://39.135.16.142:6060/PLTV/88888888/224/3221225741/1/index.m3u8?fmtts2hls
贵阳-1,http://39.135.16.142:6060/PLTV/88888888/224/3221225743/1/index.m3u8?fmtts2hls
贵阳-2,http://39.135.16.142:6060/PLTV/88888888/224/3221225684/1/index.m3u8?fmtts2hls
贵阳-3,http://39.135.16.142:6060/PLTV/88888888/224/3221225705/1/index.m3u8?fmtts2hls
六盘水1,http://39.135.16.142:6060/PLTV/88888888/224/3221225772/1/index.m3u8?fmtts2hls
六盘水2,http://39.135.16.142:6060/PLTV/88888888/224/3221225773/1/index.m3u8?fmtts2hls
港台频道,#genre#
凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv2.m3u8
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
